chara,name,input,damage,startup,active,recovery,attribute,type,frameAdv
Akatsuki,,2A,150,5,2,12,"Strike, Foot",normal,-2
Akatsuki,,2AA,150,5,2,12,"Strike, Foot",normal,-2
Akatsuki,,2B,500,8,5,11,"Strike, Foot",normal,0
Akatsuki,,2C,700,11,5,19,"Strike, Foot",normal,-6
Akatsuki,,5A,190,5,2,12,Strike,normal,-2
Akatsuki,,5AA,190,7,4,15,Strike,normal,-6
Akatsuki,,5B,510,7,3,16,Strike,normal,-3
Akatsuki,,5B,510,7,4,12,Strike,normal,0
Akatsuki,,5C,690,10,4,21,Strike,normal,-7
Akatsuki,,66B,650,10,2,12,Strike,normal,-2
Akatsuki,,66C,880,11,4,18,Strike,normal,-4
Akatsuki,,8jC,736,10,3,14,"Strike, Head",normal,Varies
Akatsuki,,c.5C,839,9,5,12,Strike,normal,+1
Akatsuki,,j7B/j9B,510,10,6,15,"Strike, Head",normal,Varies
Akatsuki,,j7C/9jC,650,12,4,15,"Strike, Head",normal,Varies
Akatsuki,,j8B,456,8,2,19,"Strike, Head",normal,Varies
Akatsuki,,jA,150,7,7,6,"Strike, Head",normal,Varies
Akatsuki,"Air Throw",jA+D,1100,3,1,22,Throw,other,+52
Akatsuki,"Armor Pierce Kick",214A,736,11,4,14,Strike,special,-2
Akatsuki,"Armor Pierce Kick",214B,1544,9,"3, (6), 5, (4), 4",18,Strike,special,-4
Akatsuki,"Armor Pierce Kick",214C,1894,1+6,"40, (6), 3",31,Strike,special,-16
Akatsuki,"Armor Pierce Kick",214[A],1280,"14, 24 (2nd)","4, (6), 6",22,Strike,special,-5
Akatsuki,"Armor Pierce Kick (Air)",j214A,736,8,7,"Until Landing + 8",Strike,special,"-6 to +3"
Akatsuki,"Armor Pierce Kick (Air)",j214B,1235,9,"3, (8), 2, (9), 4","Until Landing + 12",Strike,special,-4
Akatsuki,"Armor Pierce Kick (Air)",j214C,2073,1+7,"40, (8), 4, (2), 4","Until Landing + 16",Strike,special,-9
Akatsuki,"Blitz Shot",236A,925,12,Varies,32,Projectile,special,"-6 ob/+33 on hit"
Akatsuki,"Blitz Shot",236B,925,12,Varies,34,Projectile,special,"-6 ob/+31 on hit"
Akatsuki,"Blitz Shot",236C,1520,7,Varies,33,Projectile,special,+10
Akatsuki,"Blitz Shot (Air)",j236A,736,14,Varies,"Until Landing + 10",Projectile,special,-3
Akatsuki,"Blitz Shot (Air)",j236B,736,14,Varies,"Until Landing + 12",Projectile,special,-10
